Make,Model,Color,Body_Type,kilometers_run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),CC_Displacement,Transmission,Transmission_Type,Torque(Nm),consumption,Year_Category,sport_cars,drive_easy,travel,euro,Car_Tax,Price
1.0,0.9651162790697674,0.7857142857142857,0.0,0.4421110410864218,0.0,0.25,0.0,0.5454545454545454,0.5620578778135048,0.9999999999999999,1.0,0.608433734939759,0.0,0.5,0,1,0,1.0,0.0,0.17035960770069014
0.26666666666666666,0.3372093023255814,0.7142857142857143,1.0,0.1950436073105776,0.0,0.25,0.5,0.5454545454545454,0.36848874598070736,0.6666666666666666,0.0,0.20180722891566266,1.0,0.5,0,0,0,1.0,0.0,0.17944061024337085
0.2,0.1511627906976744,0.8571428571428571,0.25,0.28891622110634496,0.5,0.25,0.5,0.4545454545454546,0.3697749196141479,0.6666666666666666,0.0,0.18674698795180722,1.0,0.5,0,0,0,1.0,0.0,0.21976026153287323
0.7333333333333333,0.7325581395348837,0.21428571428571427,0.75,0.3513285490658481,0.0,0.25,0.5,0.23636363636363633,0.2411575562700965,0.6666666666666666,0.0,0.12951807228915663,0.0,0.5,0,0,0,1.0,0.0,0.08209226298583364
0.26666666666666666,0.20930232558139533,0.5714285714285714,0.75,0.2440484661204741,0.0,0.25,0.5,0.509090909090909,0.36848874598070736,0.6666666666666666,0.0,0.19804216867469882,1.0,0.5,0,0,0,1.0,0.0,0.11877951325826372
0.26666666666666666,0.1744186046511628,0.7142857142857143,0.75,0.519872329179288,0.0,0.25,0.5,0.5454545454545454,0.36848874598070736,0.6666666666666666,0.0,0.20090361445783134,1.0,0.5,0,0,0,1.0,0.0,0.15110788231020705
0.2,0.10465116279069767,0.4285714285714286,0.75,0.27436012116530123,0.5,0.25,0.5,0.36363636363636365,0.3691318327974277,0.6666666666666666,0.0,0.18373493975903615,1.0,0.0,0,0,0,0.0,0.0,0.04649473301852529
0.8666666666666667,0.813953488372093,0.4285714285714286,0.25,0.9299436865965969,0.0,0.25,0.0,0.6363636363636364,0.8565916398713826,0.8333333333333334,1.0,0.9096385542168675,1.0,0.5,1,0,0,1.0,0.0,0.4471485652015982
0.26666666666666666,0.22093023255813954,0.14285714285714285,0.75,0.1543739453942955,0.0,0.25,0.5,0.4,0.36848874598070736,0.6666666666666666,0.0,0.19804216867469882,0.0,1.0,0,0,0,1.0,0.0,0.18961133309117326
0.7333333333333333,0.7325581395348837,0.21428571428571427,0.75,0.2564902722153327,0.5,0.25,0.5,0.23636363636363633,0.2411575562700965,0.6666666666666666,0.0,0.12951807228915663,0.0,0.5,0,0,0,1.0,0.0,0.07410098074827462
0.7333333333333333,0.7674418604651163,0.9285714285714286,0.5,0.34848238427290656,0.0,0.75,0.5,0.4545454545454546,0.2411575562700965,0.6666666666666666,0.0,0.14457831325301207,0.0,1.0,0,0,0,1.0,0.0,0.1543770432255721
0.0,0.011627906976744186,0.8571428571428571,0.0,0.7149261013641262,0.0,0.25,0.0,0.8181818181818181,0.8790996784565916,0.8333333333333334,1.0,1.0,1.0,0.0,1,1,0,0.0,0.0,0.14892844169996367
0.26666666666666666,0.26744186046511625,0.4285714285714286,0.25,0.31793693712008786,0.0,0.25,0.5,0.5454545454545454,0.24051446945337618,0.9999999999999999,1.0,0.37228915662650597,1.0,0.5,0,0,0,1.0,0.0,0.28369051943334544
0.8666666666666667,0.872093023255814,0.4285714285714286,0.25,0.14171867693996626,0.0,0.75,0.0,0.6363636363636364,0.8565916398713826,0.8333333333333334,1.0,0.9096385542168675,1.0,1.0,1,0,0,1.0,0.0,0.6945150744642207
0.6,0.6162790697674418,0.8571428571428571,0.75,0.3138608225416252,0.0,0.25,0.5,0.4,0.36848874598070736,0.6666666666666666,0.0,0.19578313253012047,0.0,0.5,0,0,0,1.0,0.0,0.1736287686160552
0.9333333333333333,0.9534883720930233,0.8571428571428571,0.0,0.1285958242696538,0.0,0.25,0.5,0.49090909090909085,0.5607717041800643,0.0,1.0,0.27710843373493976,1.0,1.0,0,1,0,1.0,0.0,0.3091173265528514
0.8666666666666667,0.8604651162790697,0.0,0.25,0.020909146353859605,0.0,0.25,0.5,0.4,0.3697749196141479,0.6666666666666666,0.0,0.19578313253012047,1.0,1.0,0,0,0,1.0,0.0,0.2433708681438431
0.7333333333333333,0.7093023255813954,0.5714285714285714,0.25,0.7015796214600826,0.0,0.25,0.0,0.6363636363636364,0.5382636655948553,0.8333333333333334,1.0,0.5933734939759037,1.0,0.5,0,0,0,1.0,0.0,0.24409734834725752
0.9333333333333333,0.9534883720930233,0.8571428571428571,0.0,0.35369696476854584,0.5,0.25,0.5,0.49090909090909085,0.5607717041800643,0.8333333333333334,1.0,0.27710843373493976,1.0,0.5,0,1,0,1.0,0.0,0.1787141300399564
0.26666666666666666,0.1744186046511628,0.14285714285714285,0.75,0.18234767935920634,0.0,0.25,0.5,0.5454545454545454,0.36848874598070736,0.6666666666666666,0.0,0.19789156626506027,1.0,0.5,0,0,0,1.0,0.0,0.15873592444605883
1.0,0.9651162790697674,0.2857142857142857,0.0,0.31892292992335686,0.0,0.25,0.5,0.5454545454545454,0.3691318327974277,0.6666666666666666,0.0,0.18674698795180722,1.0,0.5,0,0,0,1.0,0.0,0.1376679985470396
0.6,0.5,0.9285714285714286,0.75,0.21835166398991646,0.0,0.25,0.5,0.36363636363636365,0.24051446945337618,0.6666666666666666,0.0,0.12650602409638556,0.0,0.5,0,0,0,1.0,0.0,0.06647293861242282
