ID,Make,Model,Make_Year,Color,Body_Type,kilometers_run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),CC_Displacement,Transmission,Transmission_Type,Power(BHP),Torque(Nm),kilometer_at_liter,Price
340,9,40,2021,12,4,21564.0,1,5,2,35,796,5,1,47.33,69.0,22.05,4811.111111111111
341,9,40,2018,7,4,22849.0,1,5,2,35,796,5,1,47.3,69.0,22.0,4133.333333333333
342,9,41,2016,13,4,24374.0,1,5,2,35,998,5,1,67.0,90.0,24.07,4266.666666666667
343,4,15,2018,13,4,31912.0,1,5,2,45,1197,5,1,81.83,114.7,18.6,8711.111111111111
344,4,14,2016,11,2,60578.0,1,5,2,60,1591,6,1,122.0,154.0,15.29,10788.888888888889
345,4,15,2016,11,4,95065.0,1,5,2,45,1197,5,1,82.0,115.0,18.6,7277.777777777777
346,11,63,2022,13,4,7342.0,1,5,2,28,1298,5,2,67.0,91.0,22.0,5988.888888888889
347,11,63,2021,3,4,9285.0,1,5,2,28,1298,5,2,67.0,91.0,21.7,5222.222222222223
348,4,15,2017,7,4,41443.0,1,5,1,45,1396,6,1,88.73,219.7,22.54,8777.777777777777
349,9,43,2015,12,4,53848.0,2,5,2,35,998,5,2,67.04,90.0,23.1,4611.111111111111
350,9,50,2012,12,4,70568.0,2,5,2,45,1197,5,1,85.0,113.0,18.5,4088.8888888888887
351,9,54,2012,2,1,61885.0,1,5,2,42,1197,5,1,85.8,114.0,19.1,5077.777777777777
352,3,13,2019,7,2,16240.0,1,5,2,40,1199,5,1,88.5,110.0,16.5,9933.333333333334
353,4,27,2011,11,4,62840.0,1,5,2,35,1197,5,1,78.9,111.8,20.36,3755.555555555556
354,4,27,2011,7,4,74710.0,2,5,2,35,1197,5,1,78.9,111.8,20.36,3800.0
355,11,61,2021,7,2,19722.0,1,5,2,50,1498,5,1,104.55,142.0,16.42,10955.555555555557
356,11,61,2014,12,2,85751.0,1,5,1,50,1461,5,1,84.0,200.0,20.45,7077.777777777777
357,4,15,2016,13,4,73251.0,1,5,1,45,1396,6,1,89.0,220.0,22.54,7644.444444444444
358,4,15,2018,9,4,44188.0,1,5,1,45,1396,6,2,89.0,220.0,22.54,9066.666666666666
359,2,5,2019,11,4,45590.0,1,5,1,40,1596,5,1,98.96,215.0,24.4,7155.555555555556
360,2,5,2019,11,4,45590.0,1,5,1,40,1596,5,1,98.96,215.0,24.4,7155.555555555556
361,2,5,2019,11,4,45590.0,1,5,1,40,1499,5,1,98.96,215.0,24.4,7155.555555555556
362,2,5,2019,11,4,45590.0,1,5,1,40,1499,5,1,98.96,215.0,24.4,7155.555555555556
363,4,14,2016,3,2,97039.0,1,5,1,60,1596,6,1,126.0,265.0,17.01,12066.666666666666
364,4,14,2016,3,2,97039.0,1,5,1,60,1596,6,1,126.0,265.0,17.01,12066.666666666666
365,4,14,2016,3,2,97039.0,1,5,1,60,1582,6,1,126.0,265.0,17.01,12066.666666666666
366,4,14,2016,3,2,97039.0,1,5,1,60,1582,6,1,126.0,265.0,17.01,12066.666666666666
367,4,15,2016,12,4,14359.0,1,5,2,45,1197,5,1,81.83,114.7,18.6,7488.888888888889
368,4,16,2018,13,4,48670.0,2,5,2,32,814,5,1,55.2,74.5,21.1,3888.8888888888887
369,4,14,2018,11,2,70015.0,1,5,2,55,1591,6,2,121.3,151.0,15.8,13477.777777777776
370,9,41,2011,12,4,41517.0,2,5,2,35,998,5,1,67.1,90.0,20.92,3055.555555555556
371,9,52,2021,7,4,14818.0,1,5,2,27,998,5,1,67.0,90.0,21.01,5922.222222222223
372,3,10,2017,5,1,46935.0,1,5,2,40,1497,5,1,117.6,145.0,17.4,9155.555555555557
373,4,15,2020,13,4,30590.0,1,5,2,40,1197,5,2,81.86,117.0,18.6,8944.444444444445
374,4,14,2017,2,2,62805.0,1,5,2,60,1591,6,1,122.0,154.0,15.29,12200.0
375,9,44,2017,7,1,47123.0,1,5,2,43,1373,5,1,91.1,130.0,20.73,8833.333333333334
376,9,41,2019,12,4,50437.0,2,5,2,35,998,5,1,67.0,90.0,24.07,4511.111111111111
377,9,45,2017,3,1,49930.0,1,5,2,37,1696,5,2,88.5,113.0,24.12,8000.0
378,2,4,2016,3,2,46485.0,1,5,2,52,1298,5,2,124.0,170.0,18.9,8133.333333333333
379,9,43,2014,13,4,76306.0,1,5,2,35,998,5,2,67.04,90.0,23.1,4511.111111111111
380,4,15,2015,3,4,80743.0,1,5,2,45,1197,5,1,81.83,114.7,18.6,6911.111111111111
381,4,15,2018,11,4,54836.0,1,5,2,45,1197,5,2,82.0,115.0,18.6,8244.444444444445
382,9,45,2018,3,1,32170.0,1,5,2,37,1197,5,2,88.5,113.0,24.12,7766.666666666667
383,14,79,2011,2,1,62193.0,1,5,2,45,1496,5,1,80.0,132.0,17.57,4733.333333333333
384,4,16,2012,3,4,40097.0,1,5,2,32,814,5,1,55.2,74.5,21.1,3155.555555555556
385,3,8,2015,13,1,44188.0,1,5,2,35,1198,5,1,86.9,109.0,18.0,6377.777777777777
386,4,15,2017,11,4,86163.0,2,5,1,45,1396,6,1,88.73,219.7,22.54,7766.666666666667
387,4,15,2016,11,4,50229.0,1,5,2,45,1197,5,1,81.83,114.7,18.6,6722.222222222223
388,9,51,2020,3,2,20156.0,1,5,2,48,1462,5,1,103.25,138.0,18.55,12266.666666666666
389,4,27,2016,12,4,29122.0,1,5,2,35,1197,5,1,78.9,111.8,20.36,5011.111111111111
390,4,15,2016,13,4,71532.0,2,5,2,45,1197,5,1,82.0,115.0,18.6,7033.333333333333
391,7,32,2020,13,2,36581.0,1,5,1,60,1596,5,1,167.68,350.0,17.41,20533.33333333333
