ID,Make,Model,Make_Year,Color,Body_Type,kilometers_run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),CC_Displacement,Transmission,Transmission_Type,Power(BHP),Torque(Nm),kilometer_at_liter,Price
723,Hyundai,Elitei20,2017,blue,hatchback,57359.0,1,5,petrol,45,1197,5-Speed,Manual,81.83,114.7,18.6,8266.666666666666
724,Honda,City,2019,brown,sedan,13791.0,1,5,petrol,40,1497,5-Speed,Manual,117.6,145.0,17.4,10911.111111111111
725,MarutiSuzuki,VitaraBrezza,2016,yellow,suv,76060.0,1,5,diesel,48,1248,5-Speed,Automatic,88.5,200.0,24.3,9788.888888888889
726,Tata,Altroz,2021,white,hatchback,5389.0,1,5,petrol,37,1199,5-Speed,Manual,84.82,113.0,19.05,9266.666666666666
727,Mahindra,Scorpio,2015,black,suv,64338.0,1,7,diesel,60,2179,5-Speed,Manual,120.0,280.0,15.4,10177.777777777777
728,Honda,Amaze,2019,brown,sedan,17691.0,1,5,petrol,35,1199,5-Speed,Manual,88.76,110.0,18.6,9777.777777777777
729,Tata,Punch,2022,white,suv,19734.0,1,5,petrol,37,1199,5-Speed,Automatic,84.0,113.0,18.9,9677.777777777777
730,Hyundai,Grandi10,2017,silver,hatchback,16150.0,1,5,petrol,43,1197,5-Speed,Automatic,81.86,113.75,18.9,6600.0
731,Hyundai,Verna,2021,silver,sedan,21557.0,1,5,petrol,45,1497,6-Speed,Automatic,113.0,144.0,17.7,15177.777777777777
732,Toyota,Glanza,2020,white,hatchback,30130.0,1,5,petrol,37,1596,5-Speed,Manual,81.8,113.0,21.01,8722.222222222223
733,Toyota,Glanza,2020,white,hatchback,30130.0,1,5,petrol,37,1596,5-Speed,Manual,81.8,113.0,21.01,8722.222222222223
734,Toyota,Glanza,2020,white,hatchback,30130.0,1,5,petrol,37,1197,5-Speed,Manual,81.8,113.0,21.01,8722.222222222223
735,Toyota,Glanza,2020,white,hatchback,30130.0,1,5,petrol,37,1197,5-Speed,Manual,81.8,113.0,21.01,8722.222222222223
736,MarutiSuzuki,Baleno,2019,blue,hatchback,24618.0,1,5,petrol,37,1197,5-Speed,Manual,81.8,113.0,21.01,7977.777777777777
737,MarutiSuzuki,Baleno,2020,blue,hatchback,4337.0,1,5,petrol,37,1197,5-Speed,Manual,81.8,113.0,21.01,8322.222222222223
738,MarutiSuzuki,AltoK10,2015,red,hatchback,74114.0,2,5,petrol,35,998,5-Speed,Manual,67.0,90.0,24.07,3555.5555555555557
739,Hyundai,Creta,2016,white,suv,52631.0,3,5,petrol,60,1591,6-Speed,Manual,122.0,154.0,15.29,9555.555555555555
740,MarutiSuzuki,Dzire,2021,blue,sedan,5744.0,1,5,petrol,37,1197,5-Speed,Manual,88.5,113.0,23.26,8877.777777777777
741,MarutiSuzuki,WagonR1.2,2019,silver,hatchback,18988.0,1,5,petrol,32,1197,5-Speed,Manual,81.8,113.0,20.52,6944.444444444444
742,MarutiSuzuki,Alto800,2019,grey,hatchback,18066.0,1,5,petrol,35,796,5-Speed,Manual,47.3,69.0,22.05,4566.666666666667
743,MarutiSuzuki,Swift,2014,silver,hatchback,74660.0,2,5,diesel,43,1248,5-Speed,Manual,74.0,190.0,22.9,6000.0
744,MarutiSuzuki,Baleno,2019,white,hatchback,32801.0,1,5,petrol,37,1197,5-Speed,Manual,81.8,113.0,21.01,9133.333333333334
745,MarutiSuzuki,Dzire,2018,white,sedan,46517.0,1,5,petrol,37,1696,5-Speed,Automatic,88.5,113.0,24.12,8711.111111111111
746,Hyundai,Venue,2019,blue,suv,44781.0,1,5,petrol,45,998,7-Speed,Manual,118.35,171.6,18.15,12944.444444444445
747,MarutiSuzuki,Omni,2019,blue,muv,27409.0,1,8,petrol,36,796,4-Speed,Manual,34.0,59.0,16.8,4400.0
748,Hyundai,Elitei20,2019,blue,hatchback,23505.0,1,5,petrol,40,1197,5-Speed,Automatic,81.86,117.0,18.6,8555.555555555555
749,MarutiSuzuki,S-Presso,2021,red,hatchback,34872.0,1,5,petrol,27,998,5-Speed,Manual,67.0,90.0,21.01,5722.222222222223
750,MarutiSuzuki,Alto800,2020,red,hatchback,7401.0,1,5,petrol,35,796,5-Speed,Manual,47.3,69.0,22.05,4733.333333333333
751,Hyundai,Grandi10,2014,orange,hatchback,51531.0,1,5,petrol,43,1197,4-Speed,Automatic,82.0,114.0,18.9,6011.111111111111
752,Hyundai,Eon,2017,white,hatchback,40187.0,1,5,petrol,32,814,5-Speed,Manual,55.2,74.5,21.1,4333.333333333333
753,Renault,Duster,2017,bronze,suv,77127.0,2,5,diesel,50,1461,5-Speed,Manual,84.0,200.0,19.87,9000.0
754,Ford,EcoSport,2017,grey,suv,31080.0,1,5,diesel,52,1498,5-Speed,Manual,99.0,205.0,22.7,10355.555555555555
755,MarutiSuzuki,Baleno,2019,blue,hatchback,28967.0,1,5,petrol,37,1197,5-Speed,Manual,81.8,113.0,21.01,8800.0
756,Hyundai,Creta,2017,white,suv,69302.0,1,5,petrol,60,1591,6-Speed,Manual,122.0,154.0,15.29,13755.555555555555
757,Hyundai,Elitei20,2020,red,hatchback,14502.0,1,5,petrol,40,1197,5-Speed,Automatic,81.86,117.0,18.6,8544.444444444445
758,Hyundai,Elitei20,2014,blue,hatchback,38213.0,1,5,petrol,45,1197,5-Speed,Manual,81.83,114.7,18.6,7055.555555555556
759,MarutiSuzuki,Celerio,2016,white,hatchback,54635.0,1,5,petrol,35,998,5-Speed,Automatic,67.04,90.0,23.1,5344.444444444444
760,Honda,City,2018,brown,sedan,32939.0,1,5,petrol,40,1196,5-Speed,Automatic,117.6,145.0,18.0,13166.666666666666
761,Skoda,Rapid,2012,beige,sedan,99495.0,1,5,diesel,55,1598,5-Speed,Manual,103.0,250.0,14.3,5177.777777777777
762,Renault,Kwid,2019,red,hatchback,23342.0,1,5,petrol,28,799,5-Speed,Manual,53.3,72.0,25.17,5433.333333333333
763,Hyundai,Verna,2020,black,sedan,32464.0,1,5,petrol,45,998,7-Speed,Automatic,118.0,172.0,19.2,16155.555555555555
764,Honda,WR-V,2019,red,suv,30457.0,1,5,diesel,40,1498,6-Speed,Manual,97.89,200.0,23.7,11466.666666666666
